miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
AntarikabhAbe	AntarikabhAbe,JQ,n,n,nnm#AntarikabhAbe,JJ,n,n#
pramodakendra	pramodakendra,NP,0,0,n,n#
pANDiYAnera	pANDiYAnera,NP,0,0,n,n#
bakaju.Di	bakaju.Di,NP,0,0,n,n#
ThikUjia-koShThI	ThikUjia-koShThI,NP,0,0,n,n#
nirbisheShe	nirbisheShe,JJ,n,n#nirbisheShe,JQ,n,n,nnm#
tAtAna	tAtAno,VM,3,prs,sim,dcl,fin,n,n,y#tAtAna,JJ,n,n#tAtAno,VM,2,prs,prg,dcl,fin,n,n,n#tAtAna,JQ,n,n,nnm#tAtAno,VAUX,2,prs,prg,dcl,fin,n,n,n#tAtAno,VAUX,3,prs,sim,dcl,fin,n,n,y#
tarAdhikAra	tarAdhikAra,NP,0,0,n,n#
jIbitakuNDara	jIbitakuNDara,NP,0,0,n,n#
prachChannatAprakaTatAra	prachChannatAprakaTatAra,NP,0,0,n,n#
manogemAs	manogemAs,NP,0,0,n,n#
khabarerakAgaje	khabarerakAgaje,NP,0,0,n,n#
tejIa	tejIa,NP,0,0,n,n#
kamalasAYara	kamalasAYara,NP,0,0,n,n#
hemalatAdebI	hemalatAdebI,NP,0,0,n,n#
nirApakShA	nirApakShA,NP,0,0,n,n#
deshAbhimAnIa-te	deshAbhimAnIa-te,NP,0,0,n,n#
proTano	proTano,NP,0,0,n,n#
chekaposTagulikeo	chekaposTagulikeo,NP,0,0,n,n#
puraskAragulike	puraskAra,NC,pl,acc,y,n#puraskAra,NV,acc,y,n#
kalAsRRiShTira	kalAsRRiShTira,NP,0,0,n,n#
sarbbabhAbe	sarbbabhAbe,NP,0,0,n,n#
nIradAra	nIradAra,NP,0,0,n,n#
phANDa-kartRRipakShera	phANDa-kartRRipakShera,NP,0,0,n,n#
chAkalAdAra	chAkalAdAra,NC,sg,0,n,n#chAkalAdAra,NP,sg,0,n,n#chAkalAdAra,NV,0,n,n#
bhiserAo	bhiserAo,NP,0,0,n,n#
lokagItia-a'nAo	lokagItia-a'nAo,NP,0,0,n,n#
smArakaTio	smArakaTio,NP,0,0,n,n#
chakradharapura	chakradharapura,NP,0,0,n,n#
iuTiAia-era	iuTiAia-era,NP,0,0,n,n#
tadbiShaYe	tadbiShaYe,NP,0,0,n,n#
minisTriYAla	minisTriYAla,NP,0,0,n,n#
jh?.NAkena	jh?.NAkena,NP,0,0,n,n#
ka'Tia?a	ka'Tia?a,NP,0,0,n,n#
byAkhAtA	byAkhAtA,NP,0,0,n,n#
nAtAli	nAtAli,NP,0,0,n,n#
mekArsa	mekArsa,NP,0,0,n,n#
yantraTAi	yantraTAi,NP,0,0,n,n#
ea-ba~Ngeo	ea-ba~Ngeo,NP,0,0,n,n#
Abahabij~nAnasa³krAnta	Abahabij~nAnasa³krAnta,NP,0,0,n,n#
gau.Dbaha	gau.Dbaha,NP,0,0,n,n#
si.nhabhUma	si.nhabhUma,NP,0,0,n,n#
A.Nti	A.Nti,NP,0,0,n,n#
iÏrejashAsanera	iÏrejashAsanera,NP,0,0,n,n#
mAliTAra	mAli,NV,gen,n,n#mAli,NC,sg,gen,n,n#
yea-sa.nkramaNa	yea-sa.nkramaNa,NP,0,0,n,n#
jelia	jelia,NP,0,0,n,n#
ba.nshAbhimAna	ba.nshAbhimAna,NP,0,0,n,n#
jAminadArerAo	jAminadAra,NP,pl,0,y,n#jAminadAra,NC,pl,0,y,n#jAminadAra,NV,0,y,n#
paTabardhanera	paTabardhanera,NP,0,0,n,n#
phaTakaTA	phaTaka,NC,sg,0,y,n#phaTaka,NV,0,y,n#
oYadera	oYadera,NP,0,0,n,n#
nekApa.DAa'a	nekApa.DAa'a,NP,0,0,n,n#
sahisadera	sahisa,NV,gen,n,n#sahisa,NC,pl,gen,n,n#sahisa,NP,pl,gen,n,n#
oYAsija	oYAsija,NP,0,0,n,n#
mArkeTi.nYe	mArkeTi.nYe,NP,0,0,n,n#
pu.Dbe	pu.Dbe,NP,0,0,n,n#
bhUmikampai	bhUmikampai,NP,0,0,n,n#
truTibichyutiguli	truTibichyuti,NV,0,y,n#truTibichyuti,NC,pl,0,y,n#
paribeShaNAra	paribeShaNAra,NP,0,0,n,n#
kaliyugIYa	kaliyugIYa,NP,0,0,n,n#
bandhutba-a-	bandhutba-a-,NP,0,0,n,n#
omolojAi	omolojAi,NP,0,0,n,n#
Aina-AdAlatabiShaYe	Aina-AdAlatabiShaYe,NP,0,0,n,n#
nai....	nai....,NP,0,0,n,n#
shishua-sa.ngaThanagulira	shishua-sa.ngaThanagulira,NP,0,0,n,n#
sAbadhAnabANIguli	sAbadhAnabANIguli,NP,0,0,n,n#
menottira	menottira,NP,0,0,n,n#
tuliYe	tolAno,LC,n,0#tolAno,VM,3,prs,sim,dcl,nfn,n,n,n#tolAno,LV,n#tuli,NC,sg,0,n,n#tolAno,VAUX,3,prs,sim,dcl,nfn,n,n,n#tuli,NV,0,n,n#tuli,NP,sg,0,n,n#
pArakbeTrAi	pArakbeTrAi,NP,0,0,n,n#
chellAni	chellAni,NP,0,0,n,n#
golApabAga	golApabAga,NP,0,0,n,n#
bA~NAla-ghaTi	bA~NAla-ghaTi,NP,0,0,n,n#
pratiphalana.'	pratiphalana.',NP,0,0,n,n#
ekajana	ekajana,JQ,n,n,nnm#ekajana,JJ,n,n#
sphiriula	sphiriula,NP,0,0,n,n#
ata.DitbishleShya	ata.DitbishleShya,NP,0,0,n,n#
baDisa	baDisa,NP,sg,0,n,n#baDisa,NV,0,n,n#baDisa,NC,sg,0,n,n#
mastiShkera-a-	mastiShkera-a-,NP,0,0,n,n#
rAjyashAkhAra	rAjyashAkhAra,NP,0,0,n,n#
sa´khyAdhika	sa´khyAdhika,NP,0,0,n,n#
bartAibe	bartAibe,NP,0,0,n,n#
chauthibAra	chauthibAra,NP,0,0,n,n#
Debhira	Debhira,NP,0,0,n,n#
miShTAnnAdi	miShTAnnAdi,NP,0,0,n,n#
sa~Nghi	sa~Nghi,NP,0,0,n,n#
mAreja	mAreja,NP,0,0,n,n#
gAna-kabitAa	gAna-kabitAa,NP,0,0,n,n#
kuThIra	kuThI,NP,sg,gen,n,n#kuThI,NC,sg,gen,n,n#kuThI,NV,gen,n,n#
shekhAtena	shekhAno,VM,3,prs,pft,dcl,fin,n,n,n#shekhAno,VAUX,3,prs,pft,dcl,fin,n,n,n#
byAsiDioreNapamadhyastha	byAsiDioreNapamadhyastha,NP,0,0,n,n#
hAnAhAnia-hA~NgAmAra	hAnAhAnia-hA~NgAmAra,NP,0,0,n,n#
'himagharagulira	'himagharagulira,NP,0,0,n,n#
myA~NgAloriYAna	myA~NgAloriYAna,NP,0,0,n,n#
dikadiganta	dikadiganta,NP,0,0,n,n#
tRRiRRiNamUlera	tRRiRRiNamUlera,NP,0,0,n,n#
himyAnake	himyAnake,NP,0,0,n,n#
gohalAra	gohalAra,NP,0,0,n,n#
rUpakathA	rUpakathA,NV,0,n,n#rUpakathA,NP,sg,0,n,n#rUpakathA,NC,sg,0,n,n#
biYetei	bi,NC,sg,loc,n,n#bi,NV,loc,n,n#
kumAike	kumAike,NP,0,0,n,n#
kRRiShakaprajAra	kRRiShakaprajAra,NP,0,0,n,n#
'meghAlaYa	'meghAlaYa,NP,0,0,n,n#
rAmarathe	rAmarathe,NP,0,0,n,n#
agAsTAsa	agAsTAsa,NP,0,0,n,n#
bhA~NAga.DAa	bhA~NAga.DAa,NP,0,0,n,n#
shilpasaukaryera	shilpasaukaryera,NP,0,0,n,n#
neshanasa	neshanasa,NP,0,0,n,n#
ba.DrA	ba.DrA,NP,0,0,n,n#
AshAprada	AshAprada,JQ,n,n,nnm#AshAprada,JJ,n,n#
dua'To	dua'To,NP,0,0,n,n#
bhadrerao	bhadra,NC,sg,gen,n,n#bhadra,NV,gen,n,n#bhadra,NP,sg,gen,n,n#
lAlera	lAla,NC,sg,gen,n,n#lAla,NP,sg,gen,n,n#lAla,NV,gen,n,n#
gAigaru	gAigaru,NV,0,n,n#gAigaru,NC,sg,0,n,n#gAigaru,NP,sg,0,n,n#
phu.NYei	phu.NYei,NP,0,0,n,n#
hA.DokAa	hA.DokAa,NP,0,0,n,n#
gaNatantrapremIrA	gaNatantrapremIrA,NP,0,0,n,n#
churAshitama	churAshitama,NP,0,0,n,n#
saTke	saTke,NP,0,0,n,n#
sukhendubikAsha	sukhendubikAsha,NP,0,0,n,n#
khAdyabahmute	khAdyabahmute,NP,0,0,n,n#
miTAnora	miTAno,NC,sg,gen,n,n#miTAno,NV,gen,n,n#miTAno,NP,sg,gen,n,n#
megAsiTite	megAsiTite,NP,0,0,n,n#
sAhebajAnera	sAhebajAnera,NP,0,0,n,n#
mukhArjinagarera	mukhArjinagarera,NP,0,0,n,n#
kaShTasAdhya.'	kaShTasAdhya.',NP,0,0,n,n#
rushikUmAra	rushikUmAra,NP,0,0,n,n#
'mAdAra	'mAdAra,NP,0,0,n,n#
birAshira	birAshi,NV,gen,n,n#birAshi,NC,sg,gen,n,n#birAshi,NP,sg,gen,n,n#
dbIpachara	dbIpachara,NP,0,0,n,n#
santuShTi	santuShTi,NV,0,n,n#santuShTi,NC,sg,0,n,n#santuShTi,NP,sg,0,n,n#
dRRiShTibha~Ngiri	dRRiShTibha~Ngiri,NP,0,0,n,n#
samaYasebaka	samaYasebaka,JJ,n,n#samaYasebaka,JQ,n,n,nnm#
kalochita	kalochita,NP,0,0,n,n#
